URL,Description
https://www.buyritebeauty.com/3-5-x-5-ic-urethane-extra-soft-circular-mat-w-square-cut-out-5-8/,"
Description


This Extra Soft Circular Salon Mat w/ Square Cut Out is made by IC Urethane, which guarantees the utmost quality found in the salon industry. This circular mat is unique in that it features a square cut out depression which works perfectly for any square base chair, and it can also accommodate round chair base as well! This particular mat is professional grade and measures 3.5’ x 5’, with a 5/8” thickness to help reduce strain on feet, legs, neck and back! IC Urethane‘s super soft mats provide cushioned comfort and protective floor care for all Salons and Barber Shops, & feature an INDUSTRY BEST 5 YEAR WARRANTY!!
Features:

5/8” Thick Professional Grade Mat
Industry Best 5 Year Warranty
Extra Soft Salon Mat Technology by IC Urethane
3.5’ x 5’ Circular Anti-Fatigue Salon Mat w/ Square Indentation
Can Be Used With Square or Round Chair Base
Reduces Strain on Neck, Back, Legs and Feet
 


Read Reviews
"
https://www.buyritebeauty.com/3-5-x-5-ic-urethane-extra-soft-rectangle-mat-w-square-cut-out-5-8/,"
Description


This Extra Soft Rectangle Salon Mat w/ Square Cut Out is made by IC Urethane, which guarantees only the finest quality found in the salon industry. This rectangular mat is unique in that it features a square cut out which works perfectly with any square base chair, and it also can accommodate either a round chair base as well! This particular mat measures 3.5’ x 5’, with a professional grade 5/8” thickness to help reduce strain on feet, legs, neck and back! IC Urethane‘s super soft mats provide cushioned comfort and protective floor care for all Salons and Barber Shops, & come complete with an INDUSTRY BEST 5 YEAR WARRANTY!
Features:

5/8” Thick Professional Grade Mat
Industry Best 5 Year Warranty
Extra Soft Salon Mat Technology by IC Urethane
3.5’ x 5’ Rectangular Anti-Fatigue Salon Mat w/ Square Indentation
Can Be Used With Square or Round Chair Base
Reduces Strain on Neck, Back, Legs and Feet
 


Read Reviews
"
https://www.buyritebeauty.com/3-x-4-5-ic-urethane-extra-soft-circular-mat-w-square-cut-out-3-4/,"
Description


This Extra Soft Circular Salon Mat w/ Square Cut Out is made by IC Urethane, which guarantees the utmost quality found in the salon industry. This circular mat is unique in that it features a square cut out which works perfectly with any square base chair, and it can also accommodate a round chair base as well! This particular mat measures 3’ x 4.5’, with a professional grade 3/4” thickness to help reduce strain on feet, legs, neck and back! IC Urethane ‘s super soft mats provide cushioned comfort and protective floor care for all Salons and Barber Shops, and come complete with an INDUSTRY BEST 5 YEAR WARRANTY!
Features:

3/4” Thick Professional Grade Mat
Industry Best 5 Year Warranty
Extra Soft Salon Mat Technology by IC Urethane
3’ x 4.5’ Circular Anti-Fatigue Salon Mat w/ Square Indentation
Can Be Used With Square or Round Chair Base
Reduces Strain on Neck, Back, Legs and Feet
 


Read Reviews
"
https://www.buyritebeauty.com/3-x-4-5-ic-urethane-extra-soft-rectangle-mat-w-square-cut-out-3-4/,"
Description


This Extra Soft Rectangle Salon Mat w/ Square Cut Out is made by IC Urethane, which guarantees the best quality found in the salon industry. This rectangular mat is unique in that it features a square cut out which works perfectly iwth any square base chair, and it can also work with a round chair base as well! This particular mat measures 3’ x 4.5’, with a professional grade 3/4” thickness to help reduce strain on feet, legs, neck and back! IC Urethane‘s super soft mats provide cushioned comfort and protective floor care for all Salons and Barber Shops, and come with an INDUSTRY BEST 5 YEAR WARRANTY!!
Features:

3/4"" Thick Professional Grade Mat
Industry Best 5 Year Warranty
Extra Soft Salon Mat Technology by IC Urethane
3’ x 4.5’ Rectangular Anti-Fatigue Salon Mat w/ Square Indentation
Can Be Used With Square or Round Chair Base
Reduces Strain on Neck, Back, Legs and Feet
 


Read Reviews
"
https://www.buyritebeauty.com/j-a-epiray-sanitizer/,"
Description


With the J&A Epiray Sanitizer, there will never be any question if your tools are cleaned and sanitized correctly.  This sanitizer comes quipped with a long lasting UV bulb as well as two pull-out shelves for easy use. The cover and door are made with UV resistant substance to protect technician’s eyes and skin. The door is transparent for easy viewing and is integrated with a sensor which automatically turns the UV Light Off whenever the door is open. The bactericidal and fungicidal properties of UV light are incorporated into designing this safe and effective Epiray sanitizer.
Features 

Automatic On/Off Function Door
Easy View Window
2 Pull-Out Shelves
Ultraviolet Hospital Grade Germicidal Bulb
 


Read Reviews
"
https://www.buyritebeauty.com/j-a-heat-dry-nail-dryer/,"
Description


The J&A Heat And Dry Nail Polish Dryer Machine is where functionality meets convenience. This nail polish dryer machine offers two temperature settings and it has an automatic on and off sensor simplifying the process when nails are wet from manicure and/or pedicure and trying to avoid accidents. This sleek nail dryer is designed for use on both hands and feet.
Features - 

Two Temperature Options
Automatic On And Off Sensor
For Both Hands And Feet
 


Read Reviews
"
https://www.buyritebeauty.com/j-a-lenox-gx-pedicure-spa-w-glass-bowl/,"
Description


The J&A Lenox GX Pedicure Spa is a modern pedicure chair with beautiful finishes that create a synergy of cool, contemporary style without sacrificing an ounce of comfort. The Lenox GX comes with an easily operated remote control, allowing the client to be absolutely spoil themselves by personalizing the detail of their Shiatsu Massage experience. This pedicure chair features a durable glass bowl with J&A's Durable Infiniti Pipeless Whirlpool, a handcrafted fiberglass base with a Gel Coat finish, and beautiful cherry wood arm rests. The Lenox GX is truly the pedicure spa of choice for Day Spas and Salons with an eye for design and comfort. 
Features:

Infiniti Pipeless Whirlpool
Power Recline And Slide
10-inch Adjustable Foot Rest
Full Function Shiatsu Massage
Multicolor LED Lighting In Bowl
Manicure Trays With Cup Holders
Dual Function Fill-And-Spray Hose
Cherry Wood  Arms Rest with Adjustable Trays
Remote Control To Personalize Shiatsu Massage Experience
Hancrafted Fiberglass Base wit a Gel Coat Finish
Chair Colors: Black, Chocolate, Jade Green, Pearl Purple, Rosewood Red, Taupe Beige
Glass Bowl Colors: Crystal Reflections, Gold Reflections And Nickel
Base Colors: Phantom Black & Porcelain White
 


Download Lenox GX Manual
Download Lenox GX Specifications 
Download Lenox GX Component Cut Sheet 
Download Lenox GX Component Cut Sheet 
Read Reviews
"
https://www.buyritebeauty.com/j-a-hot-towel-warmer-large/,"
Description


The J&A Hot Towel Warmer (Large) is the perfect addition to your salon or spa and bade by a well-respected leader in the salon and spa industry. It is excellent for warming towels for soothing and hygienic treatment on your clients. It warms and then keeps towels consistently warm, ensuring a ready supply of warm towels are always available. This hot towel cabinet is equipped with double doors and a pair of interior shelves, allowing it to accommodate up to 48 hand-sized facial towels For best results, make sure your wring out all the excess water before rolling the towels up and placing them inside the unit. The J&A Hot Towel Warmer is ideal for any salon, spa or barbershop.
 
Features:

Large Capacity
Double Doors
Accommodates Up To 48 Facial Towels
No UV Bulb
 


Read Reviews
"
https://www.buyritebeauty.com/j-a-hot-towel-warmer-medium/,"
Description


The J&A Hot Towel Warmer (Medium) is the perfect addition to your salon or spa and bade by a well-respected leader in the salon and spa industry. It is excellent for warming towels for soothing and hygienic treatment on your clients. It warms and then keeps towels consistently warm, ensuring a ready supply of warm towels are always available. This hot towel cabinet is equipped with a pair of interior shelves, allowing it to accommodate up to 24 hand-sized facial towels. For best results, make sure your wring out all the excess water before rolling the towels up and placing them inside the unit. The J&A Hot Towel Warmer is ideal for any salon, spa or barbershop. 
Features:

Medium Capacity
Two Shelves
Accommodates Up To 24 Facial Towels
 


Read Reviews
"
https://www.buyritebeauty.com/j-a-hot-towel-warmer-small/,"
Description


The J&A Hot Towel Warmer (Small) is the perfect addition to your salon or spa and made by a well-respected leader in the salon and spa industry. The towel warmer will keep the towels warm for refreshing and hygienic treatments on your clients. This ""small"" unit will hold up to 12 hand-sized facial towels. For best results, make sure you wring out all the excess water before rolling the towels up and placing them inside the unit. This unit is great for compact locations that are needing to save space!
Features - 

Holds up to 12 Hand-Sized Facial Towels 
Compact Unit for Compact Spaces
Keeps Towels Warm for Treatments
Perfect for Barber Shops, Salons & Spas
 


Read Reviews
"
